Date : 2023-09-17 17:07:41
Directory : c:\Users\dawn\Desktop\test\VueSocial
Total : 75 files,  19325 codes, 116 comments, 401 blanks, all 19842 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
+------------+------------+------------+------------+------------+------------+
| JSON       |          4 |     13,239 |          0 |          4 |     13,243 |
| vue        |         24 |      3,660 |          2 |        139 |      3,801 |
| JavaScript |         43 |      1,845 |         92 |        181 |      2,118 |
| Markdown   |          2 |        516 |          1 |         62 |        579 |
| CSS        |          1 |         46 |         20 |         14 |         80 |
| HTML       |          1 |         19 |          1 |          1 |         21 |
+------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                        | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                           |         75 |     19,325 |        116 |        401 |     19,842 |
| . (Files)                                                                                   |          1 |        502 |          1 |         54 |        557 |
| BlogPhone                                                                                   |         49 |     15,905 |        103 |        286 |     16,294 |
| BlogPhone (Files)                                                                           |          5 |     11,354 |          3 |         13 |     11,370 |
| BlogPhone\build                                                                             |          7 |        455 |         40 |         56 |        551 |
| BlogPhone\config                                                                            |          3 |         47 |         26 |         18 |         91 |
| BlogPhone\src                                                                               |         34 |      4,049 |         34 |        199 |      4,282 |
| BlogPhone\src (Files)                                                                       |          2 |        207 |          7 |         18 |        232 |
| BlogPhone\src\common                                                                        |          3 |         91 |         20 |         18 |        129 |
| BlogPhone\src\common\css                                                                    |          1 |         46 |         20 |         14 |         80 |
| BlogPhone\src\common\js                                                                     |          2 |         45 |          0 |          4 |         49 |
| BlogPhone\src\components                                                                    |         15 |      1,927 |          1 |         94 |      2,022 |
| BlogPhone\src\components\FooterGuide                                                        |          1 |        100 |          0 |          5 |        105 |
| BlogPhone\src\components\chat                                                               |          1 |        271 |          0 |          4 |        275 |
| BlogPhone\src\components\comlist                                                            |          1 |        142 |          0 |          5 |        147 |
| BlogPhone\src\components\comment                                                            |          1 |         81 |          0 |          5 |         86 |
| BlogPhone\src\components\img-display                                                        |          1 |        131 |          0 |         10 |        141 |
| BlogPhone\src\components\loading                                                            |          1 |         26 |          0 |          1 |         27 |
| BlogPhone\src\components\myheader                                                           |          1 |         57 |          1 |          4 |         62 |
| BlogPhone\src\components\personalIndex                                                      |          1 |        330 |          0 |          5 |        335 |
| BlogPhone\src\components\scroll                                                             |          1 |        137 |          0 |          6 |        143 |
| BlogPhone\src\components\show-img                                                           |          1 |        206 |          0 |         21 |        227 |
| BlogPhone\src\components\slider                                                             |          1 |        158 |          0 |         13 |        171 |
| BlogPhone\src\components\unlogin                                                            |          1 |         27 |          0 |          3 |         30 |
| BlogPhone\src\components\updataavater                                                       |          1 |        131 |          0 |          4 |        135 |
| BlogPhone\src\components\updataname                                                         |          1 |         65 |          0 |          4 |         69 |
| BlogPhone\src\components\updatasign                                                         |          1 |         65 |          0 |          4 |         69 |
| BlogPhone\src\pages                                                                         |          8 |      1,599 |          1 |         39 |      1,639 |
| BlogPhone\src\pages\Home                                                                    |          1 |        412 |          0 |          5 |        417 |
| BlogPhone\src\pages\Login                                                                   |          1 |        101 |          0 |          4 |        105 |
| BlogPhone\src\pages\News                                                                    |          1 |        194 |          0 |          6 |        200 |
| BlogPhone\src\pages\Profile                                                                 |          1 |        104 |          0 |          5 |        109 |
| BlogPhone\src\pages\Register                                                                |          1 |         93 |          0 |          5 |         98 |
| BlogPhone\src\pages\Search                                                                  |          2 |        502 |          0 |          9 |        511 |
| BlogPhone\src\pages\upload                                                                  |          1 |        193 |          1 |          5 |        199 |
| BlogPhone\src\router                                                                        |          1 |        108 |          0 |          8 |        116 |
| BlogPhone\src\store                                                                         |          5 |        117 |          5 |         22 |        144 |
| server                                                                                      |         25 |      2,918 |         12 |         61 |      2,991 |
| server (Files)                                                                              |          3 |      2,007 |          3 |         12 |      2,022 |
| server\models                                                                               |          7 |         21 |          0 |         11 |         32 |
| server\routers                                                                              |          7 |        738 |          8 |         21 |        767 |
| server\schemas                                                                              |          7 |        129 |          0 |         16 |        145 |
| server\socket                                                                               |          1 |         23 |          1 |          1 |         25 |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| filename                                                                                    | language   | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\.postcssrc.js                                | JavaScript |          7 |          2 |          2 |         11 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\README.md                                    | Markdown   |         14 |          0 |          8 |         22 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\build.js                               | JavaScript |         35 |          0 |          7 |         42 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\check-versions.js                      | JavaScript |         45 |          0 |         10 |         55 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\utils.js                               | JavaScript |         80 |          5 |         17 |        102 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\vue-loader.conf.js                     | JavaScript |         21 |          0 |          2 |         23 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\webpack.base.conf.js                   | JavaScript |         78 |          4 |          5 |         87 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\webpack.dev.conf.js                    | JavaScript |         82 |          7 |          7 |         96 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\webpack.prod.conf.js                   | JavaScript |        114 |         24 |          8 |        146 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\config\dev.env.js                            | JavaScript |          6 |          0 |          2 |          8 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\config\index.js                              | JavaScript |         37 |         26 |         15 |         78 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\config\prod.env.js                           | JavaScript |          4 |          0 |          1 |          5 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\index.html                                   | HTML       |         19 |          1 |          1 |         21 |
| c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\package-lock.json                            | JSON       |     11,237 |          0 |          1 |     11,238 |
