"filename", "language", "Markdown", "JavaScript", "JSON", "YAML", "vue", "CSS", "HTML", "comment", "blank", "total"
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\.postcssrc.js", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 2, 2, 11
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\README.md", "Markdown", 14, 0, 0, 0, 0, 0, 0, 0, 8, 22
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\build.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 7, 42
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\check-versions.js", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 0, 10, 55
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\utils.js", "JavaScript", 0, 80, 0, 0, 0, 0, 0, 5, 17, 102
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\vue-loader.conf.js", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 2, 23
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\webpack.base.conf.js", "JavaScript", 0, 78, 0, 0, 0, 0, 0, 4, 5, 87
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\webpack.dev.conf.js", "JavaScript", 0, 82, 0, 0, 0, 0, 0, 7, 7, 96
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\build\webpack.prod.conf.js", "JavaScript", 0, 114, 0, 0, 0, 0, 0, 24, 8, 146
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\config\dev.env.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 0, 2, 8
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\config\index.js", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 26, 13, 76
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\config\prod.env.js", "JavaScript", 0, 4, 0, 0, 0, 0, 0, 0, 1, 5
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\index.html", "HTML", 0, 0, 0, 0, 0, 0, 19, 1, 1, 21
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\package-lock.json", "JSON", 0, 0, 11237, 0, 0, 0, 0, 0, 1, 11238
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\package.json", "JSON", 0, 0, 79, 0, 0, 0, 0, 0, 1, 80
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\pnpm-lock.yaml", "YAML", 0, 0, 0, 6793, 0, 0, 0, 0, 1060, 7853
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\app.vue", "vue", 0, 0, 0, 0, 134, 0, 0, 0, 6, 140
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\common\css\reset.css", "CSS", 0, 0, 0, 0, 0, 46, 0, 20, 14, 80
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\common\js\dom.js", "JavaScript", 0, 10, 0, 0, 0, 0, 0, 0, 1, 11
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\common\js\localStorage.js", "JavaScript", 0, 35, 0, 0, 0, 0, 0, 0, 3, 38
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\FooterGuide\FooterGuide.vue", "vue", 0, 0, 0, 0, 100, 0, 0, 0, 5, 105
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\chat\chat.vue", "vue", 0, 0, 0, 0, 298, 0, 0, 0, 4, 302
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\comlist\comlist.vue", "vue", 0, 0, 0, 0, 142, 0, 0, 0, 5, 147
"c:\Users\dawn\Desktop\test\VueSocial\BlogPhone\src\components\comment\comment.vue", "vue", 0, 0, 0, 0, 81, 0, 0, 0, 5, 86
